settlement,district,idp_individuals,resident_individuals
Afar Iradood,Gaalkacyo,0,1260.0
Afarta kaare,Gaalkacyo,720,0.0
Al Nasiib 1,Gaalkacyo,1152,0.0
Alanley,Gaalkacyo,3690,0.0
Alcadaala,Gaalkacyo,1860,0.0
Aliwal,Gaalkacyo,0,720.0
Alkharash,Gaalkacyo,1200,0.0
Alla'Aamin 1,Gaalkacyo,1200,0.0
Alla'Aamin 2,Gaalkacyo,2400,0.0
Arafat,Gaalkacyo,1692,0.0
Ari cadays,Gaalkacyo,0,1200.0
Ayah,Gaalkacyo,1080,0.0
Baagga balaqey,Gaalkacyo,0,1740.0
Baantu 1,Gaalkacyo,1440,0.0
Baantu 2,Gaalkacyo,600,0.0
Baantu 3,Gaalkacyo,420,0.0
Baay Iyo Bakool,Gaalkacyo,420,0.0
Bacaad weyn,Gaalkacyo,0,9000.0
Baciidka,Gaalkacyo,0,108.0
Badbaado,Gaalkacyo,660,0.0
Bakool Sare,Gaalkacyo,660,0.0
Bali Abees,Gaalkacyo,0,150.0
Ballibusle,Gaalkacyo,540,3180.0
Bandar-Salaam,Gaalkacyo,0,1152.0
Bandiiraaley,Gaalkacyo,0,19200.0
Barag Mire,Gaalkacyo,0,162.0
Bardaale,Gaalkacyo,1152,0.0
Bari Mudug,Gaalkacyo,1320,0.0
Barwaqo,Gaalkacyo,480,0.0
Baxsan 1,Gaalkacyo,720,0.0
Baxsan 2,Gaalkacyo,1260,0.0
Bayle,Gaalkacyo,0,300.0
Bayra,Gaalkacyo,0,1500.0
Ber Wabax,Gaalkacyo,0,270.0
Bilcile,Gaalkacyo,0,150.0
Bilcil-Seejo,Gaalkacyo,0,1200.0
Biri,Gaalkacyo,252,0.0
Bohol,Gaalkacyo,0,660.0
Boone,Gaalkacyo,0,600.0
Boorancadk,Gaalkacyo,0,330.0
Bulaley,Gaalkacyo,0,2142.0
Bulojawan 1,Gaalkacyo,750,0.0
Bulojawan 2,Gaalkacyo,1680,0.0
Buqa Mudug,Gaalkacyo,0,1500.0
Burcad,Gaalkacyo,0,510.0
Buulo Agoon,Gaalkacyo,960,0.0
Buulo Ajuuran,Gaalkacyo,1092,0.0
Buulo Ayaan,Gaalkacyo,480,0.0
Buulo Bacleey,Gaalkacyo,3600,0.0
Buulo Bidaar,Gaalkacyo,540,0.0
Buulo Bishaaro,Gaalkacyo,1620,0.0
Buulo Kontrool,Gaalkacyo,6768,0.0
Buulonooto,Gaalkacyo,1020,0.0
Cabdi Indhayare,Gaalkacyo,0,192.0
Cagaaran,Gaalkacyo,1200,1596.0
Carfuuda,Gaalkacyo,0,1860.0
Cawaale,Gaalkacyo,360,0.0
Cays Dheere,Gaalkacyo,540,0.0
Ceel Gaab,Gaalkacyo,1878,0.0
Ceel Gaab 2,Gaalkacyo,750,0.0
Ceel muudaan,Gaalkacyo,0,480.0
Ceel-Berde,Gaalkacyo,0,780.0
Cel Akhwan,Gaalkacyo,0,468.0
Ciise,Gaalkacyo,480,0.0
Cinjire,Gaalkacyo,0,510.0
cowshahan,Gaalkacyo,0,252.0
Daaru nuur,Gaalkacyo,0,210.0
Dalsan,Gaalkacyo,0,432.0
Danwadag,Gaalkacyo,540,0.0
Danyar,Gaalkacyo,1110,0.0
Darul culum,Gaalkacyo,0,384.0
Darusalaam,Gaalkacyo,0,2280.0
Daryeel,Gaalkacyo,1920,0.0
Dayax 1,Gaalkacyo,1200,0.0
Deegan,Gaalkacyo,1146,0.0
Deeqlo,Gaalkacyo,0,1920.0
Dhagaxyo Caddo,Gaalkacyo,0,2700.0
Dhakamaqal,Gaalkacyo,0,720.0
Dhardhar,Gaalkacyo,0,340.0
Dhardhar/Dagaari,Gaalkacyo,0,5700.0
Diriye,Gaalkacyo,0,228.0
Docol,Gaalkacyo,270,9810.0
Docolle Farale,Gaalkacyo,0,780.0
Dooxa Mudugs,Gaalkacyo,540,0.0
Dulyar,Gaalkacyo,0,240.0
Elmi Shire,Gaalkacyo,0,54.0
Faraweyne,Gaalkacyo,0,300.0
Fardaharis,Gaalkacyo,0,510.0
Fatxi,Gaalkacyo,360,0.0
Fiqi ,Gaalkacyo,312,0.0
Funug,Gaalkacyo,0,120.0
Gaarcad,Gaalkacyo,0,234.0
Gaas,Gaalkacyo,390,0.0
Gacnofale,Gaalkacyo,0,2400.0
Galad,Gaalkacyo,870,0.0
Galkacyo israac,Gaalkacyo,500,37750.0
Galkayo Garsor,Gaalkacyo,0,43080.0
Galkayo Horumar,Gaalkacyo,320,6685.0
Galmeegaag,Gaalkacyo,0,312.0
Gargaar,Gaalkacyo,1170,0.0
Garsoor,Gaalkacyo,0,5400.0
Garsoor-Horumar,Gaalkacyo,0,7185.0
Geela fuul,Gaalkacyo,0,54.0
Gobsho,Gaalkacyo,0,900.0
Godod,Gaalkacyo,0,2100.0
Golol,Gaalkacyo,972,0.0
Gowlalo,Gaalkacyo,0,1500.0
Gurmad,Gaalkacyo,420,0.0
Guuco,Gaalkacyo,0,420.0
Guuleed,Gaalkacyo,360,0.0
Halabokhad,Gaalkacyo,1800,0.0
Hanano,Gaalkacyo,318,0.0
Hayan,Gaalkacyo,1290,0.0
Heema,Gaalkacyo,0,2400.0
Hilaal Yaman,Gaalkacyo,1410,0.0
Hilaal Yamen,Gaalkacyo,960,0.0
Hiraan 1,Gaalkacyo,360,0.0
Hiraan 2,Gaalkacyo,1860,0.0
Hiraan 3,Gaalkacyo,540,0.0
Hiraan 4,Gaalkacyo,360,0.0
Hodan,Gaalkacyo,0,3840.0
Horagle,Gaalkacyo,0,900.0
Horyaal,Gaalkacyo,2040,0.0
Ibraahim,Gaalkacyo,528,0.0
Ilayaz,Gaalkacyo,372,0.0
Ina Bulo,Gaalkacyo,0,510.0
Iskaashatad,Gaalkacyo,0,252.0
Isxaaq,Gaalkacyo,510,0.0
Janale,Gaalkacyo,360,0.0
Jeexdin (Galmudug),Gaalkacyo,0,1500.0
Jeexdin (Puntland),Gaalkacyo,0,3000.0
Jeexo,Gaalkacyo,0,312.0
Jiingad,Gaalkacyo,0,516.0
Jiite,Gaalkacyo,0,150.0
Kal murjeen,Gaalkacyo,0,360.0
Karin,Gaalkacyo,0,1560.0
Kulan,Gaalkacyo,540,0.0
Kulmiye,Gaalkacyo,0,504.0
Kulmiye - Balli Abaar,Gaalkacyo,900,0.0
Kulmiye (Garsoor),Gaalkacyo,840,0.0
Kulmiye (Xaar-xaar),Gaalkacyo,420,0.0
laama cali Goodir,Gaalkacyo,0,426.0
Laan calawo,Gaalkacyo,0,240.0
Laan Kadawo,Gaalkacyo,0,480.0
Laanmadow,Gaalkacyo,0,294.0
Laanta dusmade,Gaalkacyo,0,360.0
Laanta Dusmade,Gaalkacyo,0,420.0
Laanwaaley,Gaalkacyo,0,1200.0
Laaso Cadale,Gaalkacyo,0,1320.0
Laba Warod,Gaalkacyo,0,468.0
Labi dheere,Gaalkacyo,0,252.0
Labo Warood,Gaalkacyo,0,720.0
Lama Dhere,Gaalkacyo,0,240.0
Langahayr,Gaalkacyo,0,306.0
Lasjeerinl,Gaalkacyo,0,732.0
Liibaan,Gaalkacyo,486,0.0
Liibaan 1,Gaalkacyo,570,0.0
Liibaan 2,Gaalkacyo,600,0.0
Lo'ley,Gaalkacyo,0,228.0
macalin Qaliif,Gaalkacyo,0,300.0
Madiina,Gaalkacyo,0,900.0
Madiinas,Gaalkacyo,1200,0.0
Mahad Alle,Gaalkacyo,2622,0.0
Mahaday,Gaalkacyo,600,0.0
Margaaga,Gaalkacyo,1140,560.0
Midnimo,Gaalkacyo,780,0.0
Mircadaley,Gaalkacyo,0,180.0
Miro Cowleed,Gaalkacyo,0,1800.0
Moqor,Gaalkacyo,0,276.0
Mudug Sare,Gaalkacyo,960,0.0
Mudugs,Gaalkacyo,1500,0.0
Mustaqbal 1,Gaalkacyo,480,0.0
Mustaqbal 2A,Gaalkacyo,1500,0.0
Mustaqbal 2B,Gaalkacyo,1062,0.0
Najax,Gaalkacyo,1200,0.0
New Donyale,Gaalkacyo,660,0.0
Oalaanqale,Gaalkacyo,0,360.0
Odayalaa,Gaalkacyo,0,408.0
Ooman,Gaalkacyo,0,72.0
Orshe,Gaalkacyo,900,0.0
Qarqoora,Gaalkacyo,120,2400.0
Qarsoni,Gaalkacyo,0,600.0
Qaydar dhunte,Gaalkacyo,0,480.0
Qodka,Gaalkacyo,0,126.0
Qoob Dheer,Gaalkacyo,0,120.0
Qorahey1,Gaalkacyo,1260,0.0
Qorosaynrc,Gaalkacyo,0,1200.0
Qoryooleey,Gaalkacyo,402,0.0
Queydar Dhuunta,Gaalkacyo,0,300.0
Rasan,Gaalkacyo,0,720.0
Raysqaboobe,Gaalkacyo,480,0.0
Sabansabdhada,Gaalkacyo,0,1200.0
Sadax-Higlo,Gaalkacyo,1200,5760.0
Sahal,Gaalkacyo,450,0.0
Sahan 1,Gaalkacyo,450,0.0
Sahan 2,Gaalkacyo,1188,0.0
Salaam 2,Gaalkacyo,900,0.0
Salama 1,Gaalkacyo,2700,0.0
Samawada 1,Gaalkacyo,600,0.0
Samawade 2,Gaalkacyo,630,0.0
Sangadud,Gaalkacyo,0,780.0
Shanbarrin,Gaalkacyo,0,240.0
Shimbiraale,Gaalkacyo,0,72.0
Shocaaf,Gaalkacyo,0,840.0
Sirmaqabo,Gaalkacyo,900,0.0
Socdaal,Gaalkacyo,534,0.0
Somaliwayn,Gaalkacyo,3240,0.0
Syl,Gaalkacyo,630,0.0
Takulo,Gaalkacyo,1626,0.0
Talo Cad,Gaalkacyo,600,0.0
Tawakal,Gaalkacyo,3000,0.0
Titi Tiri,Gaalkacyo,0,360.0
Toonweyn,Gaalkacyo,0,210.0
Tulo Qorax,Gaalkacyo,0,1200.0
Tuulo Farxaan,Gaalkacyo,0,420.0
Tuulo Xaaran (Daarusalaam),Gaalkacyo,0,90.0
Tuulo Xabiibo,Gaalkacyo,0,840.0
Waabari,Gaalkacyo,300,0.0
Waabari,Gaalkacyo,90,4440.0
Waaya Arag,Gaalkacyo,540,0.0
Wadajir,Gaalkacyo,960,0.0
Wadataal,Gaalkacyo,420,0.0
Warshad Galay 2,Gaalkacyo,510,0.0
Warshad Galey,Gaalkacyo,540,0.0
Wayo Arag Two,Gaalkacyo,600,0.0
Xaliimo Madaxweyn,Gaalkacyo,0,156.0
xanaano,Gaalkacyo,0,450.0
Xarfo,Gaalkacyo,360,800.0
Xasasalo,Gaalkacyo,0,900.0
Ximcadlabiley,Gaalkacyo,0,168.0
Xoosh,Gaalkacyo,0,246.0
Xoriyo,Gaalkacyo,510,0.0
Yabarekiciye,Gaalkacyo,0,150.0
Afgub,Galdogob,0,120.0
Ahmed kheyr,Galdogob,90,2160.0
Al Rahmo,Galdogob,486,0.0
