month_end,year_week,current_arrival_region,current_arrival_district,previous_departure_region,previous_departure_district,reason,current_arrival_priority_need,number_of_individuals
29/02/2016,201606,Mudug,Gaalkacyo,Banadir,Banadir,Drought related,Food,18
31/01/2016,201602,Mudug,Gaalkacyo,Banadir,Banadir,Drought related,Food,7
31/03/2016,201610,Mudug,Gaalkacyo,Banadir,Banadir,Drought related,Food,4
31/08/2016,201632,Mudug,Gaalkacyo,Banadir,Banadir,Drought related,Health,4
30/06/2016,201624,Mudug,Gaalkacyo,Banadir,Banadir,Drought related,Health,5
31/03/2016,201612,Mudug,Gaalkacyo,Banadir,Banadir,Drought related,Health,8
30/09/2016,201637,Mudug,Gaalkacyo,Banadir,Banadir,Drought related,Health,8
30/09/2016,201638,Mudug,Gaalkacyo,Banadir,Banadir,Drought related,Health,9
30/04/2016,201615,Mudug,Gaalkacyo,Banadir,Banadir,Drought related,Livelihood Support,5
29/02/2016,201606,Mudug,Gaalkacyo,Banadir,Banadir,Drought related,Livelihood Support,20
29/02/2016,201607,Mudug,Gaalkacyo,Banadir,Banadir,Drought related,Livelihood Support,48
29/02/2016,201608,Mudug,Gaalkacyo,Banadir,Banadir,Drought related,Livelihood Support,6
31/01/2016,201601,Mudug,Gaalkacyo,Banadir,Banadir,Drought related,Livelihood Support,10
31/01/2016,201602,Mudug,Gaalkacyo,Banadir,Banadir,Drought related,Livelihood Support,10
31/01/2016,201604,Mudug,Gaalkacyo,Banadir,Banadir,Drought related,Livelihood Support,7
31/07/2016,201630,Mudug,Gaalkacyo,Banadir,Banadir,Drought related,Livelihood Support,2
31/03/2016,201609,Mudug,Gaalkacyo,Banadir,Banadir,Drought related,Livelihood Support,6
31/03/2016,201610,Mudug,Gaalkacyo,Banadir,Banadir,Drought related,Livelihood Support,5
31/03/2016,201611,Mudug,Gaalkacyo,Banadir,Banadir,Drought related,Livelihood Support,3
31/03/2016,201612,Mudug,Gaalkacyo,Banadir,Banadir,Drought related,Livelihood Support,14
31/05/2016,201619,Mudug,Gaalkacyo,Banadir,Banadir,Drought related,Livelihood Support,11
31/05/2016,201620,Mudug,Gaalkacyo,Banadir,Banadir,Drought related,Livelihood Support,4
31/05/2016,201621,Mudug,Gaalkacyo,Banadir,Banadir,Drought related,Livelihood Support,9
31/10/2016,201640,Mudug,Gaalkacyo,Banadir,Banadir,Drought related,Livelihood Support,7
30/09/2016,201636,Mudug,Gaalkacyo,Banadir,Banadir,Drought related,Livelihood Support,6
30/09/2016,201637,Mudug,Gaalkacyo,Banadir,Banadir,Drought related,Livelihood Support,4
30/09/2016,201638,Mudug,Gaalkacyo,Banadir,Banadir,Drought related,Livelihood Support,2
29/02/2016,201606,Mudug,Gaalkacyo,Banadir,Banadir,Drought related,Other,2
31/01/2016,201601,Mudug,Gaalkacyo,Banadir,Banadir,Drought related,Other,6
31/03/2016,201612,Mudug,Gaalkacyo,Banadir,Banadir,Drought related,Other,4
31/01/2016,201601,Mudug,Gaalkacyo,Banadir,Banadir,Drought related,Shelter,17
31/03/2016,201609,Mudug,Gaalkacyo,Banadir,Banadir,Drought related,Shelter,5
30/09/2016,201638,Mudug,Gaalkacyo,Banadir,Banadir,Drought related,Shelter,3
31/03/2016,201611,Mudug,Gaalkacyo,Banadir,Banadir,Drought related,Transport,7
30/04/2016,201615,Mudug,Gaalkacyo,Banadir,Banadir,Other,Livelihood Support,7
31/05/2016,201618,Mudug,Gaalkacyo,Banadir,Banadir,Other,Livelihood Support,7
31/03/2016,201610,Mudug,Gaalkacyo,Banadir,Banadir,Other,Other,11
31/05/2016,201618,Mudug,Gaalkacyo,Banadir,Banadir,Other,Protection,10
31/01/2016,201602,Mudug,Gaalkacyo,Bari,Bossaso,Conflict/Insecurity,Food,7
30/04/2016,201617,Mudug,Gaalkacyo,Bari,Bossaso,Drought related,Livelihood Support,7
31/08/2016,201631,Mudug,Gaalkacyo,Bari,Bossaso,Drought related,Livelihood Support,10
31/07/2016,201630,Mudug,Gaalkacyo,Bari,Bossaso,Drought related,Livelihood Support,8
30/06/2016,201622,Mudug,Gaalkacyo,Bari,Bossaso,Drought related,Livelihood Support,5
31/05/2016,201620,Mudug,Gaalkacyo,Bari,Bossaso,Drought related,Other,8
31/07/2016,201630,Mudug,Gaalkacyo,Bari,Bossaso,Drought related,Shelter,5
30/04/2016,201617,Mudug,Gaalkacyo,Bari,Bossaso,Drought related,Transport,6
31/12/2016,201652,Mudug,Gaalkacyo,Bari,Bossaso,Other,Health,6
31/01/2016,201603,Mudug,Gaalkacyo,Bari,Bossaso,Other,Health,6
31/03/2016,201611,Mudug,Gaalkacyo,Bari,Bossaso,Other,Health,6
31/03/2016,201609,Mudug,Gaalkacyo,Bari,Bossaso,Other,Other,15
31/05/2016,201622,Mudug,Gaalkacyo,Bari,Bossaso,Other,Other,10
31/03/2016,201610,Mudug,Gaalkacyo,Bari,Bossaso,Other,Transport,8
31/03/2016,201611,Mudug,Gaalkacyo,Bari,Bossaso,Other,Transport,13
30/04/2016,201614,Mudug,Gaalkacyo,Bari,Qardho,Conflict/Insecurity,Transport,468
31/03/2016,201612,Mudug,Gaalkacyo,Bay,Baidoa,Drought related,Health,3
30/09/2016,201636,Mudug,Gaalkacyo,Bay,Baidoa,Drought related,Livelihood Support,6
31/01/2016,201602,Mudug,Gaalkacyo,Bay,Baidoa,Drought related,Other,8
31/07/2016,201630,Mudug,Gaalkacyo,Bay,Buur Hakaba,Drought related,Food,11
31/07/2016,201630,Mudug,Gaalkacyo,Bay,Buur Hakaba,Drought related,Livelihood Support,10
29/02/2016,201607,Mudug,Gaalkacyo,Bay,Buur Hakaba,Drought related,Transport,6
29/02/2016,201608,Mudug,Gaalkacyo,Bay,Buur Hakaba,Drought related,Transport,5
31/01/2016,201601,Mudug,Gaalkacyo,Bay,Qansax Dheere,Drought related,Livelihood Support,11
30/09/2016,201636,Mudug,Gaalkacyo,Galgaduud,Cabudwaaq,Conflict/Insecurity,Shelter,5
30/04/2016,201616,Mudug,Gaalkacyo,Galgaduud,Cabudwaaq,Drought related,Food,8
31/08/2016,201634,Mudug,Gaalkacyo,Galgaduud,Cabudwaaq,Drought related,Food,10
29/02/2016,201605,Mudug,Gaalkacyo,Galgaduud,Cabudwaaq,Drought related,Food,6
29/02/2016,201608,Mudug,Gaalkacyo,Galgaduud,Cabudwaaq,Drought related,Food,5
31/05/2016,201618,Mudug,Gaalkacyo,Galgaduud,Cabudwaaq,Drought related,Food,6
30/09/2016,201637,Mudug,Gaalkacyo,Galgaduud,Cabudwaaq,Drought related,Food,17
29/02/2016,201608,Mudug,Gaalkacyo,Galgaduud,Cabudwaaq,Drought related,Humanitarian Aid,5
31/01/2016,201602,Mudug,Gaalkacyo,Galgaduud,Cabudwaaq,Drought related,Humanitarian Aid,6
31/01/2016,201604,Mudug,Gaalkacyo,Galgaduud,Cabudwaaq,Drought related,Humanitarian Aid,4
31/03/2016,201609,Mudug,Gaalkacyo,Galgaduud,Cabudwaaq,Drought related,Humanitarian Aid,7
31/08/2016,201631,Mudug,Gaalkacyo,Galgaduud,Cabudwaaq,Drought related,Livelihood Support,6
31/08/2016,201632,Mudug,Gaalkacyo,Galgaduud,Cabudwaaq,Drought related,Livelihood Support,7
29/02/2016,201606,Mudug,Gaalkacyo,Galgaduud,Cabudwaaq,Drought related,Livelihood Support,7
31/07/2016,201630,Mudug,Gaalkacyo,Galgaduud,Cabudwaaq,Drought related,Livelihood Support,7
30/06/2016,201623,Mudug,Gaalkacyo,Galgaduud,Cabudwaaq,Drought related,Livelihood Support,9
30/09/2016,201638,Mudug,Gaalkacyo,Galgaduud,Cabudwaaq,Drought related,Livelihood Support,8
31/01/2016,201604,Mudug,Gaalkacyo,Galgaduud,Cabudwaaq,Drought related,Other,234
31/01/2016,201601,Mudug,Gaalkacyo,Galgaduud,Cabudwaaq,Drought related,Shelter,7
30/06/2016,201623,Mudug,Gaalkacyo,Galgaduud,Cabudwaaq,Drought related,Shelter,7
30/06/2016,201625,Mudug,Gaalkacyo,Galgaduud,Cabudwaaq,Drought related,Shelter,5
30/09/2016,201638,Mudug,Gaalkacyo,Galgaduud,Cabudwaaq,Drought related,Shelter,4
30/04/2016,201616,Mudug,Gaalkacyo,Galgaduud,Cadaado,Conflict/Insecurity,Health,5
30/04/2016,201614,Mudug,Gaalkacyo,Galgaduud,Cadaado,Conflict/Insecurity,Protection,7
29/02/2016,201607,Mudug,Gaalkacyo,Galgaduud,Cadaado,Drought related,Food,5
31/01/2016,201601,Mudug,Gaalkacyo,Galgaduud,Cadaado,Drought related,Food,7
31/12/2016,201650,Mudug,Gaalkacyo,Galgaduud,Cadaado,Drought related,Livelihood Support,14
31/12/2016,201652,Mudug,Gaalkacyo,Galgaduud,Cadaado,Drought related,Livelihood Support,16
31/01/2016,201602,Mudug,Gaalkacyo,Galgaduud,Cadaado,Drought related,Livelihood Support,7
30/04/2016,201617,Mudug,Gaalkacyo,Galgaduud,Cadaado,Other,Health,4
31/03/2016,201610,Mudug,Gaalkacyo,Galgaduud,Ceel Buur,Conflict/Insecurity,Food,8
31/08/2016,201631,Mudug,Gaalkacyo,Galgaduud,Ceel Buur,Conflict/Insecurity,Other,6
30/04/2016,201615,Mudug,Gaalkacyo,Galgaduud,Ceel Buur,Drought related,Food,6
30/04/2016,201616,Mudug,Gaalkacyo,Galgaduud,Ceel Buur,Drought related,Food,13
31/07/2016,201628,Mudug,Gaalkacyo,Galgaduud,Ceel Buur,Drought related,Food,7
29/02/2016,201606,Mudug,Gaalkacyo,Galgaduud,Ceel Buur,Drought related,Health,5
29/02/2016,201606,Mudug,Gaalkacyo,Galgaduud,Ceel Buur,Drought related,Livelihood Support,8
30/04/2016,201614,Mudug,Gaalkacyo,Galgaduud,Ceel Buur,Drought related,Shelter,8
31/08/2016,201635,Mudug,Gaalkacyo,Galgaduud,Ceel Buur,Drought related,Shelter,4
31/01/2016,201602,Mudug,Gaalkacyo,Galgaduud,Ceel Dheer,Conflict/Insecurity,Food,8
31/01/2016,201603,Mudug,Gaalkacyo,Galgaduud,Ceel Dheer,Conflict/Insecurity,Food,6
31/05/2016,201619,Mudug,Gaalkacyo,Galgaduud,Ceel Dheer,Conflict/Insecurity,Food,7
