ID,Country,longitude,latitude,Area,Began,Ended,Year started,Year ended,Validation,Dead,Displaced,Main Cause
1313,Somalia,58.04.00,468.23.00,244738.52.00,10/15/97,1/9/98,1997,1997,News,2311,250000,Heavy rain
1195,Somalia,161.22.00,1084.51.00,713805.28.00,10/19/97,11/28/97,1997,1997,News,2000,230000,Heavy rain
916,Somalia,130.12.00,12468.57.00,83022.5,11/4/94,11/11/94,1994,1994,News,100,0,Heavy rain
923,Somalia,128.09.00,174.16.00,16608.05.00,11/19/94,11/21/94,1994,1994,News,30,0,Heavy rain
4624,Somalia,152.34.00,119.12.00,355540.32.00,5/19/18,5/21/18,2018,2018,FloodList,25,8000,Tropical Storm Sagar
1408,Somalia,139.17.00,1066.55.00,29466.37.00,6/24/98,6/25/98,1998,1998,News,22,2000,Heavy rain
1031,Somalia,100.59.00,352.07.00,6308.13.00,11/4/95,11/7/95,1995,1995,News,20,300,Heavy rain
4911,Somalia,61.08.00,241.57.00,428331.4,4/20/20,4/28/20,2020,2020,FloodList,10,81000,Heavy Rain
4345,Somalia,186.16.00,285.37.00,97756.01.00,4/6/16,4/13/16,2016,2016,News,9,0,Torrential Rain
5065,Somalia,87.18.00,915.07.00,55048.54.00,5/7/21,6/1/21,2021,2021,FloodList,9,100000,Heavy Rain
4055,Somalia,152.13.00,284.44.00,243476.26.00,5/1/13,5/16/13,2013,2013,News,7,50000,Heavy Rain
3992,Somalia,193.27.00,1578.16.00,13754.39.00,9/22/12,10/3/12,2012,2012,News,6,12200,Heavy Rain
2955,Somalia,119.04.00,176.56.00,37382.13.00,8/24/06,10/10/06,2006,2006,News,5,0,Monsoonal rain
4606,Somalia,100.11.00,61.03.00,163423.04.00,4/23/18,5/2/18,2018,2018,FloodList,5,50000,Heavy Rain
3183,Somalia,116.09.00,1632.11.00,13305.25.00,9/1/07,10/4/07,2007,2007,News,4,8000,Heavy rain
1076,Somalia,48.21.00,903.15.00,4533.13.00,6/13/96,6/14/96,1996,1996,News,3,400,Heavy rain
3223,Somalia,53.54.00,148.13.00,327.59.00,11/3/07,11/4/07,2007,2007,News,3,3000,Heavy rain
5110,Somalia,136.47.00,847.41.00,66965.12.00,8/11/21,8/17/21,2021,2021,FloodList,2,10000,Heavy Rain
2322,Somalia,209.29.00,699.54.00,5504.26.00,8/18/03,8/20/03,2003,2003,News,1,0,Heavy rain
4851,Somalia,138.47.00,268.41.00,92386.27.00,12/6/19,12/10/19,2019,2019,FloodList,1,250,Tropical Storm Pawan
378,Somalia,48.47.00,77.01.00,29030.07.00,11/6/89,11/14/89,1989,1989,News,0,0,Heavy rain
743,Somalia ,156.23.00,973.32.00,90684.34.00,5/29/93,6/15/93,1993,1993,News,0,0,Heavy rain
1127,Somalia,131.23.00,932.59.00,64924.17.00,11/6/96,11/10/96,1996,1996,News,0,2000,Heavy Rain
1156,Somalia,149.08.00,512.19.00,27158.42.00,5/2/97,5/7/97,1997,1997,News,0,1740,Heavy rain
1365,Somalia,178.41.00,11186.04.00,100633.14.00,5/19/98,5/21/98,1998,1998,News,0,0,Heavy rain
1415,Somalia,130.27.00,79.51.00,65727.16.00,7/13/98,7/17/98,1998,1998,News,0,500,Heavy rain
1472,Somalia,201.18.00,15299.11.00,8693.04.00,11/18/98,11/30/98,1998,1998,News,0,300,Heavy rain
1573,Somalia ,96.02.00,9689.07.00,422130.32.00,12/1/99,12/6/99,1999,1999,News,0,0,Heavy rain
1598,Somalia,148.26.00,7049.21.00,46259.36.00,5/1/00,5/30/00,2000,2000,News,0,3500,Heavy rain
1672,Somalia ,86.38.00,-964.36.00,51403.08.00,11/20/00,11/30/00,2000,2000,News,0,150000,Heavy rain
1820,Somalia ,126.49.00,8192.13.00,3907.32.00,11/1/01,11/14/01,2001,2001,News,0,6000,Heavy rain
2093,Somalia,108.07.00,710.36.00,65263.03.00,11/8/02,11/21/02,2002,2002,News,0,0,Heavy rain
2226,Somalia,111.27.00,843.09.00,33795,5/6/03,5/8/03,2003,2003,News,0,0,Heavy rain
2578,Somalia,199.01.00,64.39.00,52233.04.00,10/26/04,11/27/04,2004,2004,News,0,1000,Heavy rain
2944,Somalia,52.25.00,1110.31.00,3845.15.00,8/4/06,8/9/06,2006,2006,News,0,400,Heavy rain
3401,Somalia,126.04.00,422.38.00,111939.01.00,11/3/08,11/4/08,2008,2008,News,0,52000,Heavy Rain
3634,Somalia,176.41.00,1375.03.00,50278.2,4/12/10,4/13/10,2010,2010,0,0,200,Heavy Rain
4048,Somalia,167.45.00,647.31.00,27293.22.00,4/5/13,4/29/13,2013,2013,News,0,4000,Heavy Rain
4201,Somalia,87.18.00,227.48.00,42636.21.00,10/24/14,11/16/14,2014,2014,News,0,21000,Heavy Rain
4304,Somalia,112.02.00,1176.39.00,438557.45.00,10/15/15,10/28/15,2015,2015,News,0,0,Heavy Rain
4830,Somalia,151.17.00,992.34.00,271254.58.00,10/21/19,12/6/19,2019,2019,FloodList,0,270000,Heavy Rain
4981,Somalia,187.41.00,295.55.00,244176.26.00,10/1/20,11/12/20,2020,2020,FloodList,0,108000,Heavy Rain
4992,Somalia,103.05.00,123.52.00,416955.07.00,11/22/20,11/23/20,2020,2020,FloodList,0,0,Tropical Storm Gati
