id,year,conflict_name,side_a,side_b,where_coordinates,where_description,adm_1,latitude,longitude,geom_wkt,priogrid_gid,country,region,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,best,high,low,gwnoa,gwnob
506763,2024,Somalia: Government,Government of Somalia,Al-Shabaab,Caad village,Jeh Jeha area,Mudug region,176.39.00,16583.34.00,POINT (47.992194 5.010299),137256,Somalia,Africa,2024-01-02 00:00:00.000,2024-01-02 00:00:00.000,0,46,0,0,46,46,46,520,
507146,2024,Somalia: Government,Government of Somalia,Al-Shabaab,Camaara village,on the outskirts of Amara city near Caad,Mudug region,1910.10.00,15551.20.00,POINT (47.93026 5.11431),137256,Somalia,Africa,2024-01-06 00:00:00.000,2024-01-06 00:00:00.000,1,0,0,0,1,1,1,520,
509170,2024,Somalia: Government,Government of Somalia,Al-Shabaab,Mudug region,Mudug,Mudug region,7.00,48.00.00,POINT (48 7),140137,Somalia,Africa,2024-01-06 00:00:00.000,2024-01-07 00:00:00.000,0,76,0,0,76,76,76,520,
509683,2024,Somalia: Government,Government of Somalia,Al-Shabaab,Caad village,"Caad area,",Mudug region,176.39.00,16583.34.00,POINT (47.992194 5.010299),137256,Somalia,Africa,2024-01-24 00:00:00.000,2024-01-24 00:00:00.000,0,0,0,2,2,3,2,520,
510681,2024,Somalia: Government,Government of Somalia,Al-Shabaab,Shabelow village,Shabeelow area,Mudug region,6611.16.00,12409.18.00,POINT (47.741738 5.396376),137256,Somalia,Africa,2024-02-03 00:00:00.000,2024-02-03 00:00:00.000,0,21,0,0,21,21,21,520,
512714,2024,Somalia: Government,Government of Somalia,Al-Shabaab,Camaara village,Amara town,Mudug region,1910.10.00,15551.20.00,POINT (47.93026 5.11431),137256,Somalia,Africa,2024-02-10 00:00:00.000,2024-02-10 00:00:00.000,0,0,2,0,2,2,0,520,
512721,2024,Somalia: Government,Government of Somalia,Al-Shabaab,Harardhere district,Farah Adan area,Mudug region,12407.20.00,14229.12.00,POINT (47.850932 4.7442),136536,Somalia,Africa,2024-02-23 00:00:00.000,2024-02-23 00:00:00.000,0,2,0,0,2,3,2,520,
513543,2024,Somalia: Government,Government of Somalia,Al-Shabaab,Harardhere district,"outskirts of Harardhere, particularly in the area known as Barag Ali-Gaduud",Mudug region,12407.20.00,14229.12.00,POINT (47.850932 4.7442),136536,Somalia,Africa,2024-02-26 00:00:00.000,2024-02-26 00:00:00.000,0,10,0,0,10,10,10,520,
517141,2024,Somalia: Government,Government of Somalia,Al-Shabaab,Dumaaye village,Dumaye area,Mudug region,14631.00.00,10317.20.00,POINT (47.61622 4.87762),136536,Somalia,Africa,2024-03-16 00:00:00.000,2024-03-16 00:00:00.000,0,16,0,0,16,16,16,520,
517361,2024,Somalia: Government,Government of Somalia,Al-Shabaab,Harardhere town,area close to Harardhere town,Mudug region,10910.40.00,14338.40.00,POINT (47.8575 4.6544),136536,Somalia,Africa,2024-03-25 00:00:00.000,2024-03-27 00:00:00.000,0,40,0,0,40,40,40,520,
519206,2024,Somalia: Government,Government of Somalia,Al-Shabaab,Harardhere district,Baraagta Gurguurte near Harardhere district,Mudug region,12407.20.00,14229.12.00,POINT (47.850932 4.7442),136536,Somalia,Africa,2024-04-08 00:00:00.000,2024-04-08 00:00:00.000,0,50,0,0,50,50,50,520,
520259,2024,Somalia: Government,Government of Somalia,Al-Shabaab,Carfuuda village,"Arfuda area, under Harardhere town",Mudug region,13915.26.00,13294.13.00,POINT (47.794833 4.834686),136536,Somalia,Africa,2024-04-24 00:00:00.000,2024-04-24 00:00:00.000,0,30,0,0,30,30,30,520,
520280,2024,Somalia: Government,Government of Somalia,Al-Shabaab,Harardhere district,"Tabar-mooge, about 28km north of Harardhere town",Mudug region,12407.20.00,14229.12.00,POINT (47.850932 4.7442),136536,Somalia,Africa,2024-04-25 00:00:00.000,2024-04-25 00:00:00.000,0,70,0,0,70,70,70,520,
549697,2024,Somalia: Government,Government of Somalia,Al-Shabaab,Southern Mudug region,,Mudug region,2482.35.00,15138.37.00,POINT (47.905497 5.148655),137256,Somalia,Africa,2024-10-15 00:00:00.000,2024-10-15 00:00:00.000,0,10,0,0,10,10,10,520,
549728,2024,Somalia: Government,Government of Somalia,Al-Shabaab,Caad village,,Mudug region,176.39.00,16583.34.00,POINT (47.992194 5.010299),137256,Somalia,Africa,2024-10-17 00:00:00.000,2024-10-19 00:00:00.000,0,30,0,0,30,30,30,520,
528512,2024,Sa'ad subclan of Habar Gidir clan (Hawiye) - Leelkase subclan (Darod),Sa'ad subclan of Habar Gidir clan (Hawiye),Leelkase subclan (Darod),Area between Galdogob and Saaxqurun,between Sakha-qurun area and Goldogob,Mudug region,15763.03.00,2671.59.00,POINT (47.157499 6.945423),139415,Somalia,Africa,2024-06-25 00:00:00.000,2024-06-27 00:00:00.000,0,0,0,62,62,62,62,,
460313,2023,Somalia: Government,Government of Somalia,Al-Shabaab,Harardhere district,Harardhere district,Mudug region,12407.20.00,14229.12.00,POINT (47.850932 4.7442),136536,Somalia,Africa,2023-01-01 00:00:00.000,2023-01-01 00:00:00.000,0,10,0,0,10,10,10,520,
463434,2023,Somalia: Government,Government of Somalia,Al-Shabaab,Harardhere town,Beer-Fanah area near the coastal city of Harardhere,Mudug region,10910.40.00,14338.40.00,POINT (47.8575 4.6544),136536,Somalia,Africa,2023-01-23 00:00:00.000,2023-01-23 00:00:00.000,0,47,0,0,47,47,47,520,
463442,2023,Somalia: Government,Government of Somalia,Al-Shabaab,Harardhere town,Beer-Fanah area near the coastal city of Harardhere,Mudug region,10910.40.00,14338.40.00,POINT (47.8575 4.6544),136536,Somalia,Africa,2023-01-23 00:00:00.000,2023-01-23 00:00:00.000,0,2,0,0,2,2,2,520,
465418,2023,Somalia: Government,Government of Somalia,Al-Shabaab,Harardhere town,Harardhere,Mudug region,10910.40.00,14338.40.00,POINT (47.8575 4.6544),136536,Somalia,Africa,2023-02-03 00:00:00.000,2023-02-03 00:00:00.000,0,2,0,0,2,3,2,520,
467791,2023,Somalia: Government,Government of Somalia,Al-Shabaab,Road between Camaara and Caad,between ���Ad and ���Amara,Mudug region,810.25.00,15742.48.00,POINT (47.941748 5.048325),137256,Somalia,Africa,2023-02-04 00:00:00.000,2023-02-04 00:00:00.000,0,2,0,0,2,3,2,520,
465494,2023,Somalia: Government,Government of Somalia,Al-Shabaab,Camaara village,"Donlaye, near Amara town,",Mudug region,1910.10.00,15551.20.00,POINT (47.93026 5.11431),137256,Somalia,Africa,2023-02-10 00:00:00.000,2023-02-10 00:00:00.000,2,117,0,0,119,119,119,520,
465503,2023,Somalia: Government,Government of Somalia,Al-Shabaab,Hobyo district,a remote area about 45 km southwest of Hobyo,Mudug region,5861.29.00,8807.16.00,POINT (48.525556 5.351389),137258,Somalia,Africa,2023-02-10 00:00:00.000,2023-02-10 00:00:00.000,0,12,0,0,12,12,12,520,
465528,2023,Somalia: Government,Government of Somalia,Al-Shabaab,Mudug region,Mudug region,Mudug region,7.00,48.00.00,POINT (48 7),140137,Somalia,Africa,2023-02-14 00:00:00.000,2023-02-14 00:00:00.000,0,10,0,0,10,10,10,520,
465539,2023,Somalia: Government,Government of Somalia,Al-Shabaab,Bacaadweyn locality,Bacadweyne,Mudug region,5401.40.00,15173.40.00,POINT (47.9076 5.3238),137256,Somalia,Africa,2023-02-14 00:00:00.000,2023-02-16 00:00:00.000,0,70,0,0,70,70,70,520,
