admin0Pcode,admin0Name_en,admin1Pcode,admin1Name_en,T_TL_2005,U_TL_2005,R_TL_2005,T_TL,U_TL,R_TL,IDP_TL
SO,Somalia,SO11,Awdal,305455,110942,194513,673264,287822,377452,7990
SO,Somalia,SO12,Woqooyi Galbeed,700345,490432,209913,1242003,802740,394673,44590
SO,Somalia,SO13,Togdheer,402295,123402,278893,721363,483724,211879,25760
SO,Somalia,SO14,Sool,150277,39134,111143,327427,120993,201614,4820
SO,Somalia,SO15,Sanaag,270367,56079,214288,544123,159717,383496,910
SO,Somalia,SO16,Bari,367638,179633,188005,730147,471784,198717,59646
SO,Somalia,SO17,Nugaal,145341,54749,90592,392697,138929,244273,9495
SO,Somalia,SO18,Mudug,350099,94405,255694,717862,381493,265487,70882
SO,Somalia,SO19,Galgaduud,330057,58977,271080,569434,183553,266113,119768
SO,Somalia,SO20,Hiraan,329811,69113,260698,520686,81379,388147,51160
SO,Somalia,SO21,Middle Shabelle,514901,95831,419070,516035,114348,349727,51960
SO,Somalia,SO22,Banadir,901183,901183,0,1650228,1280939,0,369289
SO,Somalia,SO23,Lower Shabelle,850651,172714,677937,1202219,215752,883497,102970
SO,Somalia,SO24,Bay,620562,126813,493749,792182,93046,659316,39820
SO,Somalia,SO25,Bakool,310627,61438,249189,367227,61929,281298,24000
SO,Somalia,SO26,Gedo,328378,81302,247076,508403,109141,322534,76728
SO,Somalia,SO27,Middle Juba,238877,54739,184138,362921,56242,279679,27000
SO,Somalia,SO28,Lower Juba,385790,124682,261108,489307,172861,285846,30600
