County ,Years,Events
Somalia,1997,30
Somalia,1998,26
Somalia,1999,76
Somalia,2000,90
Somalia,2001,60
Somalia,2002,108
Somalia,2003,384
Somalia,2004,330
Somalia,2005,343
Somalia,2006,371
Somalia,2007,1242
Somalia,2008,1321
Somalia,2009,530
Somalia,2010,1085
Somalia,2011,1093
Somalia,2012,1819
Somalia,2013,2782
Somalia,2014,2639
Somalia,2015,2088
Somalia,2016,2311
Somalia,2017,2626
Somalia,2018,2901
Somalia,2019,2852
Somalia,2020,2782
Somalia,2021,3047
Somalia,2022,3119
Somalia,2023,3185
Somalia,2024,2828
Somalia,2025,4435
Somalia,2026,1731
