Name of school / Learning Center,School Latitude (Type the latitude),School Longitude (Type the longitude),Region (Select the appropriate Region 1 in the dropdown list),District (Select the appropriate District in the dropdown list),Village (Select the appropriate Village in the dropdown list),Urban/Rural/IDP,Latitude,Longitude,Type of School (Select the appropriate school type in the dropdown list),Type of Education (Select the appropriate educaion type in the dropdown list),geometry,index_right,id,conflict_name,year
Horumar,6.764333333,47.43823167,Mudug,Gaalkacyo,Gaalkacyo/Hormar 1,Urban,6.787934,47.412085,Public School,Primary and Secondary Education,POINT (766612.8086121791 750969.4196404602),26,468998,Somalia: Government,2023
Madina Primary School,,,Mudug,Gaalkacyo,Gaalkacyo/Israac 3,Urban,6.774621,47.436126,Private School,Primary Education,POINT (769279.07072456 749509.7284216048),26,468998,Somalia: Government,2023
mudug Primary School,,,Mudug,Gaalkacyo,Gaalkacyo/Israac 3,Urban,6.774621,47.436126,Private School,Primary Education,POINT (769279.07072456 749509.7284216048),26,468998,Somalia: Government,2023
israac Primary School,,,Mudug,Gaalkacyo,Gaalkacyo/Israac 1,Urban,6.765203,47.431399,Private School,Primary Education,POINT (768761.4766085505 748465.0717001235),26,468998,Somalia: Government,2023
Ibnu Cabaas Primary School,,,Mudug,Gaalkacyo,Gaalkacyo/Garsoor Branch 3,Urban,6.766947,47.417517,Private School,Primary Education,POINT (767225.1368070543 748650.3729668689),26,468998,Somalia: Government,2023
Imaamu Shafici Primary School,,,Mudug,Gaalkacyo,Gaalkacyo/Garsoor Branch 3,Urban,6.766947,47.417517,Private School,Primary Education,POINT (767225.1368070543 748650.3729668689),26,468998,Somalia: Government,2023
Agoonta Qaran Primary School,,,Mudug,Gaalkacyo,Gaalkacyo/Garsoor Branch 4,Urban,6.771411,47.413778,Private School,Primary Education,POINT (766809.1451896557 749142.2212056647),26,468998,Somalia: Government,2023
Bahrul Ulum Primary School,,,Mudug,Galdogob,Galdogob,Urban,7.06284,47.13276,Private School,Primary Education,POINT (735586.9999761144 781234.9412926116),36,498620,Sa'ad subclan of Habar Gidir clan (Hawiye) - Leelkase subclan (Darod),2023
Herajale Primary School,,,Mudug,Galdogob,Galdogob,Urban,7.06284,47.13276,Private School,Primary Education,POINT (735586.9999761144 781234.9412926116),36,498620,Sa'ad subclan of Habar Gidir clan (Hawiye) - Leelkase subclan (Darod),2023
Imaamu Shaafici Primary School,,,Mudug,Galdogob,Galdogob,Urban,7.06284,47.13276,Private School,Primary Education,POINT (735586.9999761144 781234.9412926116),36,498620,Sa'ad subclan of Habar Gidir clan (Hawiye) - Leelkase subclan (Darod),2023
